Date,Close
1/2/2015 16:00:00,43.86
1/5/2015 16:00:00,42.02
1/6/2015 16:00:00,42.26
1/7/2015 16:00:00,42.19
1/8/2015 16:00:00,42.12
1/9/2015 16:00:00,41.33
1/12/2015 16:00:00,40.44
1/13/2015 16:00:00,40.85
1/14/2015 16:00:00,38.54
1/15/2015 16:00:00,38.37
1/16/2015 16:00:00,38.61
1/20/2015 16:00:00,38.39
1/21/2015 16:00:00,39.31
1/22/2015 16:00:00,40.32
1/23/2015 16:00:00,40.26
1/26/2015 16:00:00,41.31
1/27/2015 16:00:00,41.2
1/28/2015 16:00:00,39.87
1/29/2015 16:00:00,41.04
1/30/2015 16:00:00,40.72
2/2/2015 16:00:00,42.19
2/3/2015 16:00:00,43.67
2/4/2015 16:00:00,43.71
2/5/2015 16:00:00,44.2
2/6/2015 16:00:00,43.47
2/9/2015 16:00:00,43.5
2/10/2015 16:00:00,43.26
2/11/2015 16:00:00,42.56
2/12/2015 16:00:00,40.58
2/13/2015 16:00:00,40.75
2/17/2015 16:00:00,40.87
2/18/2015 16:00:00,40.89
2/19/2015 16:00:00,42.34
2/20/2015 16:00:00,43.42
2/23/2015 16:00:00,41.47
2/24/2015 16:00:00,40.82
2/25/2015 16:00:00,40.75
2/26/2015 16:00:00,41.44
2/27/2015 16:00:00,40.67
3/2/2015 16:00:00,39.47
3/3/2015 16:00:00,39.91
3/4/2015 16:00:00,40.49
3/5/2015 16:00:00,40.13
3/6/2015 16:00:00,38.78
3/9/2015 16:00:00,38.18
3/10/2015 16:00:00,38.06
3/11/2015 16:00:00,38.75
3/12/2015 16:00:00,38.21
3/13/2015 16:00:00,37.74
3/16/2015 16:00:00,39.14
3/17/2015 16:00:00,38.95
3/18/2015 16:00:00,40.14
3/19/2015 16:00:00,39.13
3/20/2015 16:00:00,39.62
3/23/2015 16:00:00,39.93
3/24/2015 16:00:00,40.34
3/25/2015 16:00:00,38.86
3/26/2015 16:00:00,38.08
3/27/2015 16:00:00,37
3/30/2015 16:00:00,38.11
3/31/2015 16:00:00,37.75
4/1/2015 16:00:00,37.52
4/2/2015 16:00:00,38.2
4/6/2015 16:00:00,40.62
4/7/2015 16:00:00,40.65
4/8/2015 16:00:00,41.53
4/9/2015 16:00:00,42.02
4/10/2015 16:00:00,42.18
4/13/2015 16:00:00,41.96
4/14/2015 16:00:00,41.49
4/15/2015 16:00:00,41.57
4/16/2015 16:00:00,41.34
4/17/2015 16:00:00,41.36
4/20/2015 16:00:00,41.05
4/21/2015 16:00:00,41.88
4/22/2015 16:00:00,43.89
4/23/2015 16:00:00,43.72
4/24/2015 16:00:00,43.69
4/27/2015 16:00:00,46.31
4/28/2015 16:00:00,46.1
4/29/2015 16:00:00,46.49
4/30/2015 16:00:00,45.21
5/1/2015 16:00:00,45.21
5/4/2015 16:00:00,46.1
5/5/2015 16:00:00,46.59
5/6/2015 16:00:00,46.09
5/7/2015 16:00:00,47.36
5/8/2015 16:00:00,47.32
5/11/2015 16:00:00,47.9
5/12/2015 16:00:00,48.95
