Date,Close
1/2/2015 16:00:00,27.33
1/5/2015 16:00:00,26.56
1/6/2015 16:00:00,26.57
1/7/2015 16:00:00,26.94
1/8/2015 16:00:00,27.97
1/9/2015 16:00:00,28
1/12/2015 16:00:00,27.31
1/13/2015 16:00:00,27.56
1/14/2015 16:00:00,27.45
1/15/2015 16:00:00,26.71
1/16/2015 16:00:00,26.5
1/20/2015 16:00:00,27.18
1/21/2015 16:00:00,27.39
1/22/2015 16:00:00,28.1
1/23/2015 16:00:00,28.25
1/26/2015 16:00:00,28.28
1/27/2015 16:00:00,27.29
1/28/2015 16:00:00,28.83
1/29/2015 16:00:00,29.73
1/30/2015 16:00:00,29.29
2/2/2015 16:00:00,29.66
2/3/2015 16:00:00,29.66
2/4/2015 16:00:00,29.89
2/5/2015 16:00:00,29.99
2/6/2015 16:00:00,29.73
2/9/2015 16:00:00,29.93
2/10/2015 16:00:00,30.51
2/11/2015 16:00:00,31.22
2/12/2015 16:00:00,31.62
2/13/2015 16:00:00,31.77
2/17/2015 16:00:00,31.96
2/18/2015 16:00:00,32.18
2/19/2015 16:00:00,32.11
2/20/2015 16:00:00,32.37
2/23/2015 16:00:00,33.25
2/24/2015 16:00:00,33.04
2/25/2015 16:00:00,32.2
2/26/2015 16:00:00,32.6
2/27/2015 16:00:00,32.12
3/2/2015 16:00:00,32.27
3/3/2015 16:00:00,32.34
3/4/2015 16:00:00,32.14
3/5/2015 16:00:00,31.6
3/6/2015 16:00:00,31.65
3/9/2015 16:00:00,31.79
3/10/2015 16:00:00,31.13
3/11/2015 16:00:00,30.56
3/12/2015 16:00:00,31.11
3/13/2015 16:00:00,30.9
3/16/2015 16:00:00,31.24
3/17/2015 16:00:00,31.76
3/18/2015 16:00:00,32.12
3/19/2015 16:00:00,31.87
3/20/2015 16:00:00,31.48
3/23/2015 16:00:00,31.8
3/24/2015 16:00:00,31.67
3/25/2015 16:00:00,30.85
3/26/2015 16:00:00,31.06
3/27/2015 16:00:00,30.81
3/30/2015 16:00:00,31.59
3/31/2015 16:00:00,31.11
4/1/2015 16:00:00,31.06
4/2/2015 16:00:00,31.33
4/6/2015 16:00:00,31.84
4/7/2015 16:00:00,31.5
4/8/2015 16:00:00,31.4
4/9/2015 16:00:00,31.64
4/10/2015 16:00:00,31.78
4/13/2015 16:00:00,31.71
4/14/2015 16:00:00,31.58
4/15/2015 16:00:00,31.7
4/16/2015 16:00:00,31.54
4/17/2015 16:00:00,31.19
4/20/2015 16:00:00,31.9
4/21/2015 16:00:00,31.73
4/22/2015 16:00:00,32.16
4/23/2015 16:00:00,32.42
4/24/2015 16:00:00,32.57
